,FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
0,,,,Afghanistan,11/11/2020 5:25,33.93911,67.709953,42297,1574,34954,5769,Afghanistan,108.6534872,3.721304111
1,,,,Albania,11/11/2020 5:25,41.1533,20.1683,25294,579,12353,12362,Albania,878.9352978,2.289080414
2,,,,Algeria,11/11/2020 5:25,28.0339,1.6596,63446,2077,42626,18743,Algeria,144.6852701,3.273650033
3,,,,Andorra,11/11/2020 5:25,42.5063,1.5218,5477,75,4405,997,Andorra,7088.591212,1.36936279
4,,,,Angola,11/11/2020 5:25,-11.2027,17.8739,12816,308,6036,6472,Angola,38.9943878,2.403245943
5,,,,Antigua and Barbuda,11/11/2020 5:25,17.0608,-61.7964,131,3,122,6,Antigua and Barbuda,133.7717507,2.290076336
6,,,,Argentina,11/11/2020 5:25,-38.4161,-63.6167,1262476,34183,1081897,146396,Argentina,2793.349476,2.707615828
7,,,,Armenia,11/11/2020 5:25,40.0691,45.0382,108687,1609,66835,40243,Armenia,3667.850733,1.48039784
8,,,Australian Capital Territory,Australia,11/11/2020 5:25,-35.4735,149.0124,114,3,111,0,"Australian Capital Territory, Australia",26.62929222,2.631578947
9,,,New South Wales,Australia,11/11/2020 5:25,-33.8688,151.2093,4469,53,0,4416,"New South Wales, Australia",55.05050505,1.185947639
10,,,Northern Territory,Australia,11/11/2020 5:25,-12.4634,130.8456,41,0,33,8,"Northern Territory, Australia",16.69381107,0
11,,,Queensland,Australia,11/11/2020 5:25,-27.4698,153.0251,1179,6,1163,10,"Queensland, Australia",23.04760043,0.508905852
12,,,South Australia,Australia,11/11/2020 5:25,-34.9285,138.6007,517,4,495,18,"South Australia, Australia",29.43353259,0.773694391
13,,,Tasmania,Australia,11/11/2020 5:25,-42.8821,147.3272,230,13,217,0,"Tasmania, Australia",42.95051354,5.652173913
14,,,Victoria,Australia,11/11/2020 5:25,-37.8136,144.9631,20345,819,19522,4,"Victoria, Australia",306.8673736,4.025559105
15,,,Western Australia,Australia,11/11/2020 5:25,-31.9505,115.8605,776,9,757,10,"Western Australia, Australia",29.49897362,1.159793814
16,,,,Austria,11/11/2020 5:25,47.5162,14.5501,161228,1956,98663,64704,Austria,1830.542725,0.909223248
17,,,,Azerbaijan,11/11/2020 5:25,40.1431,47.5769,67392,867,50009,16516,Azerbaijan,664.6694628,1.286502849
18,,,,Bahamas,11/11/2020 5:25,25.025885,-78.035889,7012,154,5035,1823,Bahamas,1783.098706,2.196235026
19,,,,Bahrain,11/11/2020 5:25,26.0275,50.55,83811,331,81415,2065,Bahrain,4925.47234,0.394936226
